,,,,,,,,,,,,,Solicitação de Obra,,Mapa de Cotação,,Pedido de compra,,Contrato de Cotação e Materiais,
ESTRUTURA DO ORÇAMENTO,RM,INSUMO,4,5,6,7,8,9,10,DATA PLANEJADA TAREFA,DATA DE NECESSIDADE INFORMADA,DATA DE INCLUSAO NO SISTEMA,,Nº COTAÇÃO SISTEMA,Data aprovação cotaçao,Nº PEDIDO SISTEMA,DATA APROVAÇÃO PEDIDO DE COMPRA,Nº CONTRATO SISTEMA,DATA APROVAÇÃO DO CONTRATO,
Soma de 1,,,,,,,,,Data de cronograma,DATA DO PLANEJAMENTO,Data de necessidade informada,data de inclusao,,Cotação,Data aprovação cotaçao,Pedido,Data aprovação pedido,Contrato,Data aprovação contrato,Emissão da nota (primeira)
01.01.04.03.001,861,7889 -  07889-CONSUMO DE ÁGUA E ESGOTO,Total,,,,,,,,#N/A,#N/A,,#N/A,,#N/A,,#N/A,,
001,10332,5613 -  05613-SERVIÇOS TAXA DE ADMINISTRAÇÃO DE PERSONALIZAÇÃO,3,,,,,,,,45944,45867.745590277802,22/07/2025,258,24/07/2025,0,,2091,29/07/2025,
001,11779,5613 -  05613-SERVIÇOS TAXA DE ADMINISTRAÇÃO DE PERSONALIZAÇÃO,3,,,,,,,,45971,45894.483171296299,25/08/2025,297,26/08/2025,0,,2267,,
001,12920,5613 -  05613-SERVIÇOS TAXA DE ADMINISTRAÇÃO DE PERSONALIZAÇÃO,1,,,,,,,,46001,45924.407453703701,24/09/2025,350,24/09/2025,0,,2469,,
001,14027,5613 -  05613-SERVIÇOS TAXA DE ADMINISTRAÇÃO DE PERSONALIZAÇÃO,1,,,,,,,,46035,45954.4757523148,24/10/2025,405,24/10/2025,0,,2638,,
001,14346,5704 -  05704-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - HIDRÁULICO,3,,,,,,,,45964,45964.668842592597,03/11/2025,423,#N/A,0,,2685,05/11/2025,
001,14631,10630 -  10630-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - DRYWALL,4,,,,,,,,45971,45971.641157407401,10/11/2025,435,#N/A,0,,2716,,
001,14861,5701 -  05701-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - ELÉTRICO,2,,,,,,,,45978,45978.713391203702,17/11/2025,457,18/11/2025,0,,2765,,
001,14935,5613 -  05613-SERVIÇOS TAXA DE ADMINISTRAÇÃO DE PERSONALIZAÇÃO,6,,,,,,,,46059,45980.592048611099,19/11/2025,469,24/11/2025,0,,2792,,
001,17690,8141 -  08141-TAXA DE PERSONALIZAÇÃO,1,,,,,,,,46153,46077.605034722197,24/02/2026,620,25/02/2026,0,,3222,,
001,18041,5704 -  05704-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - HIDRÁULICO,1,,,,,,,,46086,46086.644270833298,05/03/2026,634,09/03/2026,0,,3277,,
001,18080,11434 -  11434-PORCELANATO PORTOBELLO 120X120 OPUS NAT,2,,,,,,,,46254,46087.602071759298,06/03/2026,570,26/01/2026,786,19/03/2026,0,,
001,18080,13731 -  13731-PORCELANATO PORTOBELLO 120X120 OPUS POL RET,1,,,,,,,,46254,46087.602071759298,06/03/2026,570,26/01/2026,786,19/03/2026,0,,
001,18388,5704 -  05704-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - HIDRÁULICO,1,,,,,,,,46094,46094.567604166703,13/03/2026,648,13/03/2026,0,,3326,,
001,18800,5613 -  05613-SERVIÇOS TAXA DE ADMINISTRAÇÃO DE PERSONALIZAÇÃO,1,,,,,,,,46181,46105.488217592603,24/03/2026,667,24/03/2026,0,,3419,,
002,14347,5700 -  05700-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - CLIMATIZAÇÃO,1,,,,,,,,45964,45964.665081018502,03/11/2025,424,#N/A,0,,2686,03/11/2025,
002,15256,5703 -  05703-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - GÁS,2,,,,,,,,45993,45993.3803819444,02/12/2025,491,02/12/2025,0,,2832,,
002,18378,5701 -  05701-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - ELÉTRICO,1,,,,,,,,46094,46094.446828703702,13/03/2026,646,13/03/2026,0,,3324,,
003,14346,5704 -  05704-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - HIDRÁULICO,4,,,,,,,,45964,45964.668842592597,03/11/2025,423,#N/A,0,,2685,05/11/2025,
003,14625,5701 -  05701-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - ELÉTRICO,1,,,,,,,,45971,45971.637893518498,10/11/2025,434,#N/A,0,,2715,,
003,18377,10630 -  10630-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - DRYWALL,1,,,,,,,,46094,46094.445416666698,13/03/2026,647,13/03/2026,0,,3325,,
004,14625,5701 -  05701-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - ELÉTRICO,3,,,,,,,,45971,45971.637893518498,10/11/2025,434,#N/A,0,,2715,,
004,14631,10630 -  10630-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - DRYWALL,1,,,,,,,,45971,45971.641157407401,10/11/2025,435,#N/A,0,,2716,,
005,14631,10630 -  10630-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - DRYWALL,5,,,,,,,,45971,45971.641157407401,10/11/2025,435,#N/A,0,,2716,,
005,15256,5703 -  05703-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - GÁS,3,,,,,,,,45993,45993.3803819444,02/12/2025,491,02/12/2025,0,,2832,,
006,14625,5701 -  05701-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - ELÉTRICO,2,,,,,,,,45971,45971.637893518498,10/11/2025,434,#N/A,0,,2715,,
006,14862,5704 -  05704-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - HIDRÁULICO,1,,,,,,,,45978,45978.702708333301,17/11/2025,458,18/11/2025,0,,2764,,
007,15256,5703 -  05703-SERVIÇOS PROJETO DE PERSONALIZAÇÃO - GÁS,1,,,,,,,,45993,45993.3803819444,02/12/2025,491,02/12/2025,0,,2832,,
01.01.01.01.003,1399,5706 -  05706-SERVIÇOS PROJETOS ARQUITETÔNICOS,1,,,,,,,,45744,45666.663680555597,09/01/2025,24,09/01/2025,0,,497,09/01/2025,
01.01.01.01.008,1396,5739 -  05739-SERVIÇOS PROJETOS ESTRUTURAIS,1,,,,,,,,45744,45666.659675925897,09/01/2025,21,09/01/2025,0,,494,09/01/2025,
01.01.01.01.012,1398,5738 -  05738-SERVIÇOS PROJETOS ELETRICOS/TELEFONICO,1,,,,,,,,45744,45666.662256944401,09/01/2025,23,09/01/2025,0,,496,09/01/2025,
01.01.01.01.013,1397,5740 -  05740-SERVIÇOS PROJETOS HIDRAULICO/SANITARIO,1,,,,,,,,45744,45666.660636574103,09/01/2025,22,09/01/2025,0,,495,09/01/2025,
01.01.01.01.015,1395,5725 -  05725-SERVIÇOS PROJETOS DE GÁS,1,,,,,,,,45744,45666.658645833297,09/01/2025,20,09/01/2025,0,,493,09/01/2025,
01.01.01.01.025,1402,5718 -  05718-SERVIÇOS PROJETOS DE DRYWALL,1,,,,,,,,45744,45666.668194444399,09/01/2025,27,09/01/2025,0,,500,09/01/2025,
