concatpedido,Filial,Nome Filial,Número do pedido,Série,Nr.Processo,Situação do Item,Dt.Emissão,Cód.Agente,Nome Fantasia,Cond.Pagto.,Contato,Situação do Pedido,Tipo de Preço,Total Pedido Compra,Item Pedido,Cód. Item,Cód.Alternativo,Descrição do Item,Unid.,Quantidade,Qtde. Convertida,Vlr.Unitário,Vlr.Mercadorias,Vlr.Desconto,Vlr.Total Item,Código Serviço,Cód. Aplicação,Nome Aplicação
1-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,1,UN,1,Pedido Atendido,45664,2893,GO CHARGE MIDIA,28D,,Pedido Atendido,CIF,53898,1,8198,8198,SERVIÇOS DE MARKETING DIGITAL,VB,1,1,53898,53898,0,53898,53,207,Adm-Serviços Tomados
2-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,2,UN,2,Pedido Atendido,45665,1232,AQUA,28D,,Pedido Atendido,CIF,1140,1,3298,3298,LOCAÇÃO DE IMÓVEIS - PESSOA JURIDICA COM CRÉDITO DE IMPOSTOS,MES,1,1,1140,1140,0,1140,901,210,Adm-Locações
3-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,3,UN,3,Pedido Atendido,45665,2604,FAS TERRAPLANAGEM,28D,,Pedido Atendido,CIF,13196,1,176,176,SAIBRO GROSSO,M3,14,14,66,924,0,929.64,,111,Obra-Compra de Insumos para Prestação de Serviços
3-5,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,3,UN,3,Pedido Atendido,45665,2604,FAS TERRAPLANAGEM,28D,,Pedido Atendido,CIF,13196,5,168,168,AREIA MÉDIA,M3,8,8,96,768,0,772.69,,111,Obra-Compra de Insumos para Prestação de Serviços
3-4,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,3,UN,3,Pedido Atendido,45665,2604,FAS TERRAPLANAGEM,28D,,Pedido Atendido,CIF,13196,4,148,148,BICA GRADUADA,M3,42,42,88,3696,0,3718.54,,111,Obra-Compra de Insumos para Prestação de Serviços
3-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,3,UN,3,Pedido Atendido,45665,2604,FAS TERRAPLANAGEM,28D,,Pedido Atendido,CIF,13196,3,159,159,BRITA RACHÃO,M3,70,70,88,6160,0,6197.57,,111,Obra-Compra de Insumos para Prestação de Serviços
3-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,3,UN,3,Pedido Atendido,45665,2604,FAS TERRAPLANAGEM,28D,,Pedido Atendido,CIF,13196,2,175,175,SAIBRO MEDIO,M3,28,28,56,1568,0,1577.56,,111,Obra-Compra de Insumos para Prestação de Serviços
4-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,4,UN,4,Pedido Atendido,45665,1532,BLU EMPREENDIMENTOS IMOBILIARIOS LTDA,28D,,Pedido Atendido,CIF,33994.04,1,5646,5646,SERVIÇOS CORRETAGEM DE TERRENO,VB,1,1,33994.04,33994.04,0,33994.04,50,207,Adm-Serviços Tomados
5-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,5,UN,5,Pedido Cancelado,45665,1259,ARCELORMITTAL BRASIL S.A.,28D,,Pedido Cancelado,CIF,55586.42,1,278,278,"AÇO CA-50 6,3 MM",KG,39,39,5.7025639999999997,222.4,0,222.4,,111,Obra-Compra de Insumos para Prestação de Serviços
5-7,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,5,UN,5,Pedido Cancelado,45665,1259,ARCELORMITTAL BRASIL S.A.,28D,,Pedido Cancelado,CIF,55586.42,7,281,281,"AÇO CA-50 12,5 MM",KG,3022,3022,5.2361810000000002,15823.74,0,15823.74,,111,Obra-Compra de Insumos para Prestação de Serviços
5-6,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,5,UN,5,Pedido Cancelado,45665,1259,ARCELORMITTAL BRASIL S.A.,28D,,Pedido Cancelado,CIF,55586.42,6,283,283,"AÇO CA-50 20,0 MM",KG,1454,1454,5.2361899999999997,7613.42,0,7613.42,,111,Obra-Compra de Insumos para Prestação de Serviços
5-5,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,5,UN,5,Pedido Cancelado,45665,1259,ARCELORMITTAL BRASIL S.A.,28D,,Pedido Cancelado,CIF,55586.42,5,284,284,"AÇO CA-50 25,0 MM",KG,5848,5848,5.2361789999999999,30621.17,0,30621.17,,111,Obra-Compra de Insumos para Prestação de Serviços
5-4,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,5,UN,5,Pedido Cancelado,45665,1259,ARCELORMITTAL BRASIL S.A.,28D,,Pedido Cancelado,CIF,55586.42,4,287,287,"ACO CA-60 5,0 MM",KG,5,5,6.0519999999999996,30.26,0,30.26,,111,Obra-Compra de Insumos para Prestação de Serviços
5-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,5,UN,5,Pedido Cancelado,45665,1259,ARCELORMITTAL BRASIL S.A.,28D,,Pedido Cancelado,CIF,55586.42,3,280,280,"AÇO CA-50 10,0 MM",KG,197,197,5.4321820000000001,1070.1400000000001,0,1070.1400000000001,,111,Obra-Compra de Insumos para Prestação de Serviços
5-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,5,UN,5,Pedido Cancelado,45665,1259,ARCELORMITTAL BRASIL S.A.,28D,,Pedido Cancelado,CIF,55586.42,2,279,279,"AÇO CA-50 8,0 MM",KG,36,36,5.7025639999999997,205.29,0,205.29,,111,Obra-Compra de Insumos para Prestação de Serviços
6-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,6,UN,6,Pedido Atendido,45666,1259,ARCELORMITTAL BRASIL S.A.,28D,,Pedido Atendido,CIF,55584.55,1,278,278,"AÇO CA-50 6,3 MM",KG,39,39,5.7030000000000003,222.42,0,222.42,,111,Obra-Compra de Insumos para Prestação de Serviços
6-7,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,6,UN,6,Pedido Atendido,45666,1259,ARCELORMITTAL BRASIL S.A.,28D,,Pedido Atendido,CIF,55584.55,7,281,281,"AÇO CA-50 12,5 MM",KG,3022,3022,5.2359999999999998,15823.19,0,15823.19,,111,Obra-Compra de Insumos para Prestação de Serviços
6-6,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,6,UN,6,Pedido Atendido,45666,1259,ARCELORMITTAL BRASIL S.A.,28D,,Pedido Atendido,CIF,55584.55,6,283,283,"AÇO CA-50 20,0 MM",KG,1454,1454,5.2359999999999998,7613.14,0,7613.14,,111,Obra-Compra de Insumos para Prestação de Serviços
6-5,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,6,UN,6,Pedido Atendido,45666,1259,ARCELORMITTAL BRASIL S.A.,28D,,Pedido Atendido,CIF,55584.55,5,284,284,"AÇO CA-50 25,0 MM",KG,5848,5848,5.2359999999999998,30620.13,0,30620.13,,111,Obra-Compra de Insumos para Prestação de Serviços
6-4,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,6,UN,6,Pedido Atendido,45666,1259,ARCELORMITTAL BRASIL S.A.,28D,,Pedido Atendido,CIF,55584.55,4,287,287,"ACO CA-60 5,0 MM",KG,5,5,6.0519999999999996,30.26,0,30.26,,111,Obra-Compra de Insumos para Prestação de Serviços
6-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,6,UN,6,Pedido Atendido,45666,1259,ARCELORMITTAL BRASIL S.A.,28D,,Pedido Atendido,CIF,55584.55,3,280,280,"AÇO CA-50 10,0 MM",KG,197,197,5.4320000000000004,1070.0999999999999,0,1070.0999999999999,,111,Obra-Compra de Insumos para Prestação de Serviços
6-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,6,UN,6,Pedido Atendido,45666,1259,ARCELORMITTAL BRASIL S.A.,28D,,Pedido Atendido,CIF,55584.55,2,279,279,"AÇO CA-50 8,0 MM",KG,36,36,5.7030000000000003,205.31,0,205.31,,111,Obra-Compra de Insumos para Prestação de Serviços
7-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,7,UN,7,Pedido Atendido,45667,1259,ARCELORMITTAL BRASIL S.A.,28D,,Pedido Atendido,CIF,1.87,1,278,278,"AÇO CA-50 6,3 MM",KG,1,1,1.87,1.87,0,1.87,,111,Obra-Compra de Insumos para Prestação de Serviços
8-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,8,UN,8,Pedido Atendido,45667,2776,FUNREJUS,07D,,Pedido Atendido,CIF,7467.17,1,8388,8388,FUNREJUS,VB,1,1,7467.17,7467.17,0,7467.17,,209,Adm-Outras Entradas
9-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,9,UN,9,Pedido Atendido,45671,4023,PREFIX,28D,Pedro - 41 9883-8150,Pedido Atendido,CIF,5910,1,311,311,ARAME RECOZIDO 18 BWG,KG,600,600,9.99,5994,84,5910,,111,Obra-Compra de Insumos para Prestação de Serviços
10-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,10,UN,10,Pedido Atendido,45671,4023,PREFIX,28D,Pedro - 41 9883-8150,Pedido Atendido,CIF,4114,1,315,315,PREGO 15X21,KG,50,50,11.08,554,0,554,,111,Obra-Compra de Insumos para Prestação de Serviços
10-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,10,UN,10,Pedido Atendido,45671,4023,PREFIX,28D,Pedro - 41 9883-8150,Pedido Atendido,CIF,4114,2,319,319,PREGO 17X27,KG,400,400,8.9,3560,0,3560,,111,Obra-Compra de Insumos para Prestação de Serviços
11-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,11,UN,11,Pedido Atendido,45671,1171,AMPP SERVICOS GERAIS LTDA,28D,,Pedido Atendido,CIF,2352.7800000000002,1,8217,8217,SERVIÇOS DE LIMPEZA E CONSERVAÇÃO,VB,1,1,2352.7800000000002,2352.7800000000002,0,2352.7800000000002,31,207,Adm-Serviços Tomados
12-1,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,12,UN,12,Pedido Atendido,45671,10413,BENDERTEC SOLUCOES EM ACO LTDA,28D,Pedro - 41 9883-8150,Pedido Atendido,CIF,18166.93,1,278,278,"AÇO CA-50 6,3 MM",KG,28.9,28.9,6.8,196.52,2.31,194.21,,111,Obra-Compra de Insumos para Prestação de Serviços
12-2,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,12,UN,12,Pedido Atendido,45671,10413,BENDERTEC SOLUCOES EM ACO LTDA,28D,Pedro - 41 9883-8150,Pedido Atendido,CIF,18166.93,2,280,280,"AÇO CA-50 10,0 MM",KG,9.06,9.06,6.37,57.71,0,57.71,,111,Obra-Compra de Insumos para Prestação de Serviços
12-3,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,12,UN,12,Pedido Atendido,45671,10413,BENDERTEC SOLUCOES EM ACO LTDA,28D,Pedro - 41 9883-8150,Pedido Atendido,CIF,18166.93,3,281,281,"AÇO CA-50 12,5 MM",KG,45.7,45.7,6.19,282.88,0,282.88,,111,Obra-Compra de Insumos para Prestação de Serviços
12-4,650,PIEMONTE P78 CARNEIRO LOBO SPE LTDA,12,UN,12,Pedido Atendido,45671,10413,BENDERTEC SOLUCOES EM ACO LTDA,28D,Pedro - 41 9883-8150,Pedido Atendido,CIF,18166.93,4,282,282,"AÇO CA-50 16,0 MM",KG,66.28,66.28,6.19,410.27,0,410.27,,111,Obra-Compra de Insumos para Prestação de Serviços
