,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status do Item,1,2,Orçamento,Sequencial,Solicitação,Sequência,Cód. Item,Cód. Alternativo,Acesso ao grupo de Itens,Descrição,Descrição Genérica,Qtde. Solicitada,Unid. Solicitação,Qtde. Convertida,Unid. Estoque,Preço de Solicitação,Data do Preço,Data de Necessidade,Data Inclusão,Valor Total,Estouro?,Último Aprovador,Observação,Cód. Solic.,Situação do Item,Código da Reserva,Item Reservado?,Cód. Cotação,Filial Cotação,Item Cotação,Item Cotado?,Cód. Pedido,Fornecedor,Cod. Contrato,Fornecedor,Código,Descrição,Código,Descrição,Código,Descrição,Código,Descrição,Insumo Genérico?,Controla Estoque?,Definição do Item,Insumo Ativo para Compra?,Lançamento,Cód. Sol. Móvel
+,A,1,147,1,684,1,319,319,S,PREGO 17X27,,400,KG,400,KG,9.5,45656,45679,45659.415104166699,3800,Sim,valerio.kogima,PREGOS PARA FORMAS E DISCOS PARA AÇO,32,B,,N,6,650,2,S,10,4023 - PREFIX,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,684,2,315,315,S,PREGO 15X21,,50,KG,50,KG,17,45659,45686,45659.415104166699,850,Sim,valerio.kogima,PREGOS PARA FORMAS E DISCOS PARA AÇO,32,B,,N,6,650,1,S,10,4023 - PREFIX,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,684,3,6459,6459,S,"DISCO DE CORTE 180X1,6X22,23MM",,150,UN,150,UN,5,45659,45686,45659.418298611097,750,Sim,valerio.kogima,PREGOS PARA FORMAS E DISCOS PARA AÇO,32,B,,N,29,650,1,S,14,5176 - TOTAL LONAS FERRAMENTAS E ABRASIVOS,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,861,1,7889,7889,S,CONSUMO DE ÁGUA E ESGOTO,,133693.51,VB,133693.51,VB,1,45656,45680,45660.424849536997,133693.51,,mauricio.sotomaior,CTR 20240015 - RM,1,B,,N,1,650,1,S,,,401,1936 - SANEPAR,193,Água -  (Obras),109,Obra-Outras Entradas,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,OU,S,M,
+,A,,147,1,863,1,278,278,S,"AÇO CA-50 6,3 MM",,335.87720000000002,KG,335.87720000000002,KG,6.6340000000000003,45660,45792,45660.442118055602,2228.2093448000001,Sim,engenharia.piemonte,01.03.05.02.003 - PEDIDO GLOBAL AÇO DOS BLOCOS E VIGAS BALDRAMES,37,A,,N,,,,N,,,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,863,2,287,287,S,"ACO CA-60 5,0 MM",,10.3535,KG,10.3535,KG,8.49,45656,45785,45660.446631944404,87.901214999999993,Sim,engenharia.piemonte,01.03.05.02.003 - PEDIDO GLOBAL AÇO DOS BLOCOS E VIGAS BALDRAMES,37,A,,N,,,,N,,,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,863,3,280,280,S,"AÇO CA-50 10,0 MM",,701.13049999999998,KG,701.13049999999998,KG,5.8,45656,45785,45660.455439814803,4066.5569,Sim,engenharia.piemonte,01.03.05.02.003 - PEDIDO GLOBAL AÇO DOS BLOCOS E VIGAS BALDRAMES,37,A,,N,,,,N,,,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,863,4,279,279,S,"AÇO CA-50 8,0 MM",,363.79199999999997,KG,363.79199999999997,KG,6.6340000000000003,45660,45792,45660.455439814803,2413.3961279999999,Sim,engenharia.piemonte,01.03.05.02.003 - PEDIDO GLOBAL AÇO DOS BLOCOS E VIGAS BALDRAMES,37,A,,N,,,,N,,,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,863,5,281,281,S,"AÇO CA-50 12,5 MM",,12551.25,KG,12551.25,KG,5.24,45594,45792,45660.455439814803,65768.55,Sim,engenharia.piemonte,01.03.05.02.003 - PEDIDO GLOBAL AÇO DOS BLOCOS E VIGAS BALDRAMES,37,A,,N,,,,N,,,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,863,6,282,282,S,"AÇO CA-50 16,0 MM",,131.57769999999999,KG,131.57769999999999,KG,5.24,45594,45792,45660.455451388902,689.46714799999995,Sim,engenharia.piemonte,01.03.05.02.003 - PEDIDO GLOBAL AÇO DOS BLOCOS E VIGAS BALDRAMES,37,A,,N,,,,N,,,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,863,7,283,283,S,"AÇO CA-50 20,0 MM",,1454,KG,1454,KG,5.24,45594,45792,45660.455451388902,7618.96,Sim,engenharia.piemonte,01.03.05.02.003 - PEDIDO GLOBAL AÇO DOS BLOCOS E VIGAS BALDRAMES,37,A,,N,,,,N,,,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,863,8,284,284,S,"AÇO CA-50 25,0 MM",,22428.57,KG,22428.57,KG,6.1539999999999999,45660,45792,45660.455451388902,138025.41978,Sim,engenharia.piemonte,01.03.05.02.003 - PEDIDO GLOBAL AÇO DOS BLOCOS E VIGAS BALDRAMES,37,A,,N,,,,N,,,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,863,9,311,311,S,ARAME RECOZIDO 18 BWG,,600,KG,600,KG,10.73,45656,45695,45660.455451388902,6438,Sim,engenharia.piemonte,01.03.05.02.003 - PEDIDO GLOBAL AÇO DOS BLOCOS E VIGAS BALDRAMES,37,B,,N,498,650,1,S,612,4023 - PREFIX,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1128,2,176,176,S,SAIBRO GROSSO,,14,M3,14,M3,58.8,45656,45684,45664.433125000003,823.2,Sim,bruna.lima,01.01.02.05.001 - AGREGADO PARA CAMADA DE SACRIFÍCIO (FAS),2,B,,N,2,650,1,S,3,2604 - FAS TERRAPLANAGEM,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1128,3,175,175,S,SAIBRO MEDIO,,28,M3,28,M3,58.8,45656,45684,45664.433125000003,1646.4,Sim,bruna.lima,01.01.02.05.001 - AGREGADO PARA CAMADA DE SACRIFÍCIO (FAS),2,B,,N,2,650,2,S,3,2604 - FAS TERRAPLANAGEM,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1128,4,159,159,S,BRITA RACHÃO,,70,M3,70,M3,90,45656,45684,45664.433125000003,6300,,bruna.lima,01.01.02.05.001 - AGREGADO PARA CAMADA DE SACRIFÍCIO (FAS),2,B,,N,2,650,3,S,3,2604 - FAS TERRAPLANAGEM,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1128,5,148,148,S,BICA GRADUADA,,42,M3,42,M3,88,45664,45692,45664.433125000003,3696,,bruna.lima,01.01.02.05.001 - AGREGADO PARA CAMADA DE SACRIFÍCIO (FAS),2,B,,N,2,650,4,S,3,2604 - FAS TERRAPLANAGEM,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1128,6,168,168,S,AREIA MÉDIA,,8,M3,8,M3,89.25,45656,45684,45664.433125000003,714,Sim,bruna.lima,01.01.02.05.001 - AGREGADO PARA CAMADA DE SACRIFÍCIO (FAS),2,B,,N,2,650,5,S,3,2604 - FAS TERRAPLANAGEM,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1148,9,287,287,S,"ACO CA-60 5,0 MM",,0.92,KG,0.92,KG,8.49,45656,45789,45664.723541666703,7.8108000000000004,Sim,valerio.kogima,01.04.01.04.001 - ESPERA DE PILAR (ESTRUTURA),39,B,,N,30,650,7,S,12,10413 - BENDERTEC SOLUCOES EM ACO LTDA,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1148,10,278,278,S,"AÇO CA-50 6,3 MM",,28.9,KG,28.9,KG,5.7030000000000003,45664,45796,45664.723541666703,164.8167,,valerio.kogima,01.04.01.04.001 - ESPERA DE PILAR (ESTRUTURA),39,B,,N,30,650,1,S,12,10413 - BENDERTEC SOLUCOES EM ACO LTDA,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1148,11,280,280,S,"AÇO CA-50 10,0 MM",,9.06,KG,9.06,KG,5.8,45656,45789,45664.723541666703,52.548000000000002,,valerio.kogima,01.04.01.04.001 - ESPERA DE PILAR (ESTRUTURA),39,B,,N,30,650,2,S,12,10413 - BENDERTEC SOLUCOES EM ACO LTDA,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1148,12,281,281,S,"AÇO CA-50 12,5 MM",,45.7,KG,45.7,KG,5.24,45594,45796,45664.723541666703,239.46799999999999,,valerio.kogima,01.04.01.04.001 - ESPERA DE PILAR (ESTRUTURA),39,B,,N,30,650,3,S,12,10413 - BENDERTEC SOLUCOES EM ACO LTDA,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1148,13,282,282,S,"AÇO CA-50 16,0 MM",,66.28,KG,66.28,KG,5.24,45594,45796,45664.723541666703,347.30720000000002,,valerio.kogima,01.04.01.04.001 - ESPERA DE PILAR (ESTRUTURA),39,B,,N,30,650,4,S,12,10413 - BENDERTEC SOLUCOES EM ACO LTDA,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1148,14,283,283,S,"AÇO CA-50 20,0 MM",,2457.14,KG,2457.14,KG,5.24,45594,45796,45664.723541666703,12875.4136,,valerio.kogima,01.04.01.04.001 - ESPERA DE PILAR (ESTRUTURA),39,B,,N,30,650,5,S,12,10413 - BENDERTEC SOLUCOES EM ACO LTDA,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1148,15,284,284,S,"AÇO CA-50 25,0 MM",,323.98,KG,323.98,KG,5.24,45664,45796,45664.723541666703,1697.6551999999999,,valerio.kogima,01.04.01.04.001 - ESPERA DE PILAR (ESTRUTURA),39,B,,N,30,650,6,S,12,10413 - BENDERTEC SOLUCOES EM ACO LTDA,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
+,A,,147,1,1162,1,311,311,S,ARAME RECOZIDO 18 BWG,,600,KG,600,KG,10.73,45656,45699,45664.607025463003,6438,Sim,felipe.leitolles,01.03.05.02.003 - ARAME 18 (BLOCO),18,B,,N,4,650,1,S,9,4023 - PREFIX,,,185,Material de Construção (Obra),111,Obra-Compra de Insumos para Prestação de Serviços,35,Obras - Custos,24,Poty (PIEMONTE P78 CARNEIRO LOBO SPE LTDA),N,N,MT,S,M,
