00650 - PIEMONTE P78 CARNEIRO LOBO SPE LTDA,,Requisição de Materiais e Serviços,Emissão:,46112,0.54106481481721858,Página: 1 / 1,,
861,861,45660,POTY R09 V00,1,01.01.04.03.001,7889 -  07889-CONSUMO DE ÁGUA E ESGOTO,45680,Baixada
,861,,,,,,,
1128,1128,45664,POTY R09 V00,2,01.01.02.05.001,176 -  00176-SAIBRO GROSSO,45684,Baixada
,1128,,,,,,,
1128,1128,45664,POTY R09 V00,3,01.01.02.05.001,175 -  00175-SAIBRO MEDIO,45684,Baixada
,1128,,,,,,,
1128,1128,45664,POTY R09 V00,4,01.01.02.05.001,159 -  00159-BRITA RACHÃO,45684,Baixada
,1128,,,,,,,
1128,1128,45664,POTY R09 V00,5,01.01.02.05.001,148 -  00148-BICA GRADUADA,45692,Baixada
,1128,,,,,,,
1128,1128,45664,POTY R09 V00,6,01.01.02.05.001,168 -  00168-AREIA MÉDIA,45684,Baixada
,1128,,,,,,,
1291,1291,45665,POTY R09 V00,1,01.03.05.02.004,"287 -  00287-ACO CA-60 5,0 MM",45790,Baixada
,1291,,,,,,,
1291,1291,45665,POTY R09 V00,2,01.03.05.02.003,"278 -  00278-AÇO CA-50 6,3 MM",45797,Baixada
,1291,,,,,,,
1291,1291,45665,POTY R09 V00,3,01.03.05.02.003,"279 -  00279-AÇO CA-50 8,0 MM",45797,Baixada
,1291,,,,,,,
1291,1291,45665,POTY R09 V00,4,01.03.05.02.003,"280 -  00280-AÇO CA-50 10,0 MM",45790,Baixada
,1291,,,,,,,
1291,1291,45665,POTY R09 V00,5,01.03.05.02.003,"281 -  00281-AÇO CA-50 12,5 MM",45797,Baixada
,1291,,,,,,,
1291,1291,45665,POTY R09 V00,6,01.03.05.02.003,"283 -  00283-AÇO CA-50 20,0 MM",45797,Baixada
,1291,,,,,,,
1291,1291,45665,POTY R09 V00,7,01.03.05.02.003,"283 -  00283-AÇO CA-50 20,0 MM",45797,Baixada
,1291,,,,,,,
1291,1291,45665,POTY R09 V00,8,01.03.05.02.003,"284 -  00284-AÇO CA-50 25,0 MM",45797,Baixada
,1291,,,,,,,
1328,1328,45666,POTY R09 V00,1,01.01.01.01.043,5670 -  05670-SERVIÇOS GERENCIAMENTO DE RESIDUOS,45744,Baixada
,1328,,,,,,,
1330,1330,45666,POTY R09 V00,2,01.03.04.02.002,5289 -  05289-MO EXECUÇÃO DE ESTACA ESCAVADA 40CM,45744,Baixada
,1330,,,,,,,
1330,1330,45666,POTY R09 V00,4,01.03.04.02.003,5290 -  05290-MO EXECUÇÃO DE ESTACA ESCAVADA 50CM,45744,Baixada
